,0,1,2
2010-12-15,22.22,32.91,10.354
2010-12-16,22.941,32.757,10.238
2010-12-17,22.852,33.439,10.22
2010-12-20,22.264,33.167,10.323
2010-12-21,22.414,33.118,10.411
2010-12-22,22.15,32.777,10.512
2010-12-23,21.975,32.799,10.465
2010-12-27,20.813,32.771,10.68
2010-12-28,20.753,33.095,10.623
2010-12-29,21.097,33.073,10.573
2010-12-30,21.097,33.188,10.561
2010-12-31,21.258,33.191,10.514
2011-01-03,21.27,33.497,10.57
2011-01-04,21.754,33.325,10.467
2011-01-05,21.929,33.318,10.522
2011-01-06,22.15,33.318,10.515
2011-01-07,22.307,33.162,10.399
2011-01-10,22.298,33.28,9.989
2011-01-11,22.474,33.225,10.191
2011-01-12,22.588,33.245,10.323
