music_name,artist
Позвони,"DJ SMASH, NIVESTA"
По барам,ANNA ASTI
Стрелы,"Markul, Тося Чайкина"
Никак,JONY
Некуда бежать,NЮ
ОЙДА,Oxxxymiron
Калифорния,Mary Gu
POPSTAR,INSTASAMKA
Любовь как спецэффект,MOT
ПЛАКАЛ ГОЛЛИВУД,Люся Чеботина
3-е Сентября,"ЕГОР КРИД, Михаил Шуфутинский"
Тесно,"Aarne, BUSHIDO ZHO, ANIKV"
МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$
Седьмой лепесток,Антон Токарев
Лампочка,Асия
Нити,Loc-Dog
Голова,"Канги, Galust"
Бронежилет,"Коста Лакоста, Элджей"
I Got Love,"Miyagi & Эндшпиль, Рем Дигга"
Иностранец,GOARTUR
Хобби,"ANNA ASTI, Филипп Киркоров"
Повело,ANNA ASTI
Minor,Miyagi & Andy Panda
CO2,"DJ SMASH, Artik & Asti"
Просто лети,Ramil'
Кукла колдуна,Король и Шут
Как ты там,Kamazz
We Gotta Get Love,ЕГОР КРИД
Аэропорты,Нодар Ревия
Пантомима,Зомб
Сделано в России,Oxxxymiron
WAKE UP!,Zivert
Marmalade,"Miyagi & Andy Panda, Mav-d"
Я так соскучился,Порнофильмы
По-другому,"Лолита, Коста Лакоста"
Там ревели горы,Miyagi & Andy Panda
Заново,Ёлка
Отпускай,Три дня дождя
Успокою,"Мари Краймбрери, Alex Davia"
Солнце Монако,Люся Чеботина
Пташка,"Моя Мишель, Dose"
#HABIBATI,"Пошлая Молли, HOFMANNITA"
"Amore Море, Goodbye","Filatov & Karas, Мумий Тролль"
Пацаны на стиле,Ислам Итляшев
Бог войны,Хаски
Не буди меня,Мари Краймбрери
Птичка,HammAli & Navai
"Горячая, гремучая",Султан Лагучев
Курточка,"Моя Мишель, ЛСП"
Belly Dancer,"Imanbek, BYOR"
Мужчины тоже плачут,"Bahh Tee, Turken"
Bones,Imagine Dragons
Эта любовь,Amirchik
Гармония,Artik & Asti
Сантименты,"Тайпан, R.Riccardo"
первое свидание,алёна швец.
Патрон,Miyagi & Andy Panda
Enemy,"Imagine Dragons, J.I.D, Arcane, League of Legends"
Горький вкус,Султан Лагучев
Лесник,Король и Шут
Черная любовь,"ELMAN, MONA"
Blinding Lights,The Weeknd
ПОГУДИМ,RASA
Федерико Феллини,Galibri & Mavik
Души,"Полина Гагарина, Дима Билан"
Танцевальный медляк,Мари Краймбрери
Ай-яй-яй,Ислам Итляшев
In The Dark,"Purple Disco Machine, Sophie and the Giants"
Титры,JONY
Baby mama,"Скриптонит, Райда"
Движ,Filatov & Karas
Фиеста,"Aarne, Yanix, SEEMEE"
Никто,NЮ
Заберу,"uglystephan, Scally Milano"
vodila,BUSHIDO ZHO
"Знаешь, это больно",Даша Эпова
Brooklyn,"Miyagi & Andy Panda, TumaniYO"
Rain,"ONEIL, KANVISE, Aize"
Вспомни моменты,Руки Вверх!
Это любовь,Скриптонит
99 Problems,"Big Baby Tape, kizaru"
Бейби,"Ваня Дмитриенко, Григорий Лепс"
Комета,JONY
Феникс,ANNA ASTI
Close Eyes,DVRST
Компас,Idris & Leos
Сияй,Ramil'
По крышам,"FEDUK, OG Buda"
Нету интереса,10AGE
Rampampam,Minelli
Sweater Weather,The Neighbourhood
Пополам,"BRANYA, MACAN"
Я в моменте,"Джарахов, Markul"
Пошла жара,"GAYAZOV$ BROTHER$, Filatov & Karas"
За твоим домом,HOLLYFLAME
Gangsta's Paradise,"Butch U, Bladdy-T"
I'm Alone,"Melisa, TOMMO"
Плакала,Лёша Свик
Murder In My Mind,Kordhell
Если бы,TERNOVOY
